id;Kreis;ausl_m;ausl_w;ausl_insg
05362;Rhein-Erft-Kreis;39470;33225;72695
05366;Euskirchen, Landkreis;8235;7405;15640
05370;Heinsberg, Landkreis;17630;15210;32840
05374;Oberbergischer Kreis;15420;13350;28770
05378;Rheinisch-Bergischer Kreis;15335;14595;29930
05382;Rhein-Sieg-Kreis;36395;32445;68840
05512;Bottrop, kreisfreie Stadt;7065;6535;13600
05513;Gelsenkirchen, kreisfreie Stadt;32255;28310;60570
05515;Münster, kreisfreie Stadt;17705;16830;34535
05554;Borken, Landkreis;20540;16625;37165
05558;Coesfeld, Landkreis;9600;7405;17005
05562;Recklinghausen, Landkreis;43760;38830;82590
05566;Steinfurt, Landkreis;24260;19710;43970
05570;Warendorf, Landkreis;15415;13200;28615
05711;Bielefeld, kreisfreie Stadt;31145;29410;60555
05754;Gütersloh, Landkreis;29795;24160;53955
05758;Herford, Landkreis;13755;12230;25985
05762;Höxter, Landkreis;4650;3920;8575
05766;Lippe, Landkreis;17305;15130;32435
05770;Minden-Lübbecke, Landkreis;15480;12785;28265
05774;Paderborn, Landkreis;17045;13510;30555
05911;Bochum, kreisfreie Stadt;28830;25455;54285
05913;Dortmund, kreisfreie Stadt;63865;54645;118510
05914;Hagen, kreisfreie Stadt;20445;18605;39050
05915;Hamm, kreisfreie Stadt;16375;13965;30340
05916;Herne, kreisfreie Stadt;16210;14065;30270
05954;Ennepe-Ruhr-Kreis;19215;17670;36885
